date,league,home_team,away_team,score
2019-05-11,Bundesliga,Stuttgart,Wolfsburg,3–0
2019-05-11,Bundesliga,Augsburg,Hertha BSC,3–4
2019-05-11,Bundesliga,Dortmund,Düsseldorf,3–2
2019-05-12,Bundesliga,Eint Frankfurt,Mainz 05,0–2
2019-05-18,Bundesliga,Bayern Munich,Eint Frankfurt,5–1
2019-05-18,Bundesliga,Hertha BSC,Leverkusen,1–5
2019-05-18,Bundesliga,Schalke 04,Stuttgart,0–0
2019-05-18,Bundesliga,Düsseldorf,Hannover 96,2–1
2019-05-18,Bundesliga,Mainz 05,Hoffenheim,4–2
2019-05-18,Bundesliga,Gladbach,Dortmund,0–2
2019-05-18,Bundesliga,Werder Bremen,RB Leipzig,2–1
2019-05-18,Bundesliga,Wolfsburg,Augsburg,8–1
2019-05-18,Bundesliga,Freiburg,Nürnberg,5–1
2019-05-23,Bundesliga,Stuttgart,Union Berlin,2–2
2019-05-27,Bundesliga,Union Berlin,Stuttgart,0–0
2018-08-24,Bundesliga,Bayern Munich,Hoffenheim,3–1
2018-08-25,Bundesliga,Düsseldorf,Augsburg,1–2
2018-08-25,Bundesliga,Hertha BSC,Nürnberg,1–0
2018-08-25,Bundesliga,Werder Bremen,Hannover 96,1–1
2018-08-25,Bundesliga,Wolfsburg,Schalke 04,2–1
2018-08-25,Bundesliga,Freiburg,Eint Frankfurt,0–2
2018-08-25,Bundesliga,Gladbach,Leverkusen,2–0
2018-08-26,Bundesliga,Mainz 05,Stuttgart,1–0
2018-08-26,Bundesliga,Dortmund,RB Leipzig,4–1
2018-08-31,Bundesliga,Hannover 96,Dortmund,0–0
2018-09-01,Bundesliga,Augsburg,Gladbach,1–1
2018-09-01,Bundesliga,Nürnberg,Mainz 05,1–1
2018-09-01,Bundesliga,Hoffenheim,Freiburg,3–1
2018-09-01,Bundesliga,Eint Frankfurt,Werder Bremen,1–2
2018-09-01,Bundesliga,Leverkusen,Wolfsburg,1–3
2018-09-01,Bundesliga,Stuttgart,Bayern Munich,0–3
2018-09-02,Bundesliga,RB Leipzig,Düsseldorf,1–1
2018-09-02,Bundesliga,Schalke 04,Hertha BSC,0–2
2018-09-14,Bundesliga,Dortmund,Eint Frankfurt,3–1
2018-09-15,Bundesliga,Wolfsburg,Hertha BSC,2–2
2018-09-15,Bundesliga,RB Leipzig,Hannover 96,3–2
2018-09-15,Bundesliga,Bayern Munich,Leverkusen,3–1
2018-09-15,Bundesliga,Düsseldorf,Hoffenheim,2–1
2018-09-15,Bundesliga,Mainz 05,Augsburg,2–1
2018-09-15,Bundesliga,Gladbach,Schalke 04,2–1
2018-09-16,Bundesliga,Werder Bremen,Nürnberg,1–1
2018-09-16,Bundesliga,Freiburg,Stuttgart,3–3
2018-09-21,Bundesliga,Stuttgart,Düsseldorf,0–0
2018-09-22,Bundesliga,Hertha BSC,Gladbach,4–2
2018-09-22,Bundesliga,Wolfsburg,Freiburg,1–3
2018-09-22,Bundesliga,Nürnberg,Hannover 96,2–0
2018-09-22,Bundesliga,Hoffenheim,Dortmund,1–1
2018-09-22,Bundesliga,Augsburg,Werder Bremen,2–3
2018-09-22,Bundesliga,Schalke 04,Bayern Munich,0–2
2018-09-23,Bundesliga,Leverkusen,Mainz 05,1–0
2018-09-23,Bundesliga,Eint Frankfurt,RB Leipzig,1–1
2018-09-25,Bundesliga,Werder Bremen,Hertha BSC,3–1
2018-09-25,Bundesliga,Bayern Munich,Augsburg,1–1
2018-09-25,Bundesliga,Freiburg,Schalke 04,1–0
2018-09-25,Bundesliga,Hannover 96,Hoffenheim,1–3
2018-09-26,Bundesliga,Düsseldorf,Leverkusen,1–2
2018-09-26,Bundesliga,Gladbach,Eint Frankfurt,3–1
2018-09-26,Bundesliga,RB Leipzig,Stuttgart,2–0
2018-09-26,Bundesliga,Dortmund,Nürnberg,7–0
2018-09-26,Bundesliga,Mainz 05,Wolfsburg,0–0
2018-09-28,Bundesliga,Hertha BSC,Bayern Munich,2–0
2018-09-29,Bundesliga,Hoffenheim,RB Leipzig,1–2
2018-09-29,Bundesliga,Wolfsburg,Gladbach,2–2
2018-09-29,Bundesliga,Schalke 04,Mainz 05,1–0
2018-09-29,Bundesliga,Stuttgart,Werder Bremen,2–1
2018-09-29,Bundesliga,Nürnberg,Düsseldorf,3–0
2018-09-29,Bundesliga,Leverkusen,Dortmund,2–4
2018-09-30,Bundesliga,Eint Frankfurt,Hannover 96,4–1
2018-09-30,Bundesliga,Augsburg,Freiburg,4–1
2018-10-05,Bundesliga,Werder Bremen,Wolfsburg,2–0
2018-10-06,Bundesliga,Mainz 05,Hertha BSC,0–0
2018-10-06,Bundesliga,Hannover 96,Stuttgart,3–1
2018-10-06,Bundesliga,Dortmund,Augsburg,4–3
2018-10-06,Bundesliga,Düsseldorf,Schalke 04,0–2
2018-10-06,Bundesliga,Bayern Munich,Gladbach,0–3
2018-10-07,Bundesliga,Freiburg,Leverkusen,0–0
2018-10-07,Bundesliga,Hoffenheim,Eint Frankfurt,1–2
2018-10-07,Bundesliga,RB Leipzig,Nürnberg,6–0
2018-10-19,Bundesliga,Eint Frankfurt,Düsseldorf,7–1
2018-10-20,Bundesliga,Wolfsburg,Bayern Munich,1–3
2018-10-20,Bundesliga,Stuttgart,Dortmund,0–4
2018-10-20,Bundesliga,Leverkusen,Hannover 96,2–2
2018-10-20,Bundesliga,Augsburg,RB Leipzig,0–0
2018-10-20,Bundesliga,Nürnberg,Hoffenheim,1–3
2018-10-20,Bundesliga,Schalke 04,Werder Bremen,0–2
2018-10-21,Bundesliga,Hertha BSC,Freiburg,1–1
2018-10-21,Bundesliga,Gladbach,Mainz 05,4–0
2018-10-26,Bundesliga,Freiburg,Gladbach,3–1
2018-10-27,Bundesliga,Mainz 05,Bayern Munich,1–2
2018-10-27,Bundesliga,Dortmund,Hertha BSC,2–2
2018-10-27,Bundesliga,Düsseldorf,Wolfsburg,0–3
2018-10-27,Bundesliga,Hannover 96,Augsburg,1–2
2018-10-27,Bundesliga,Hoffenheim,Stuttgart,4–0
2018-10-28,Bundesliga,Nürnberg,Eint Frankfurt,1–1
2018-10-28,Bundesliga,RB Leipzig,Schalke 04,0–0
2018-10-28,Bundesliga,Werder Bremen,Leverkusen,2–6
2018-11-02,Bundesliga,Stuttgart,Eint Frankfurt,0–3
2018-11-03,Bundesliga,Augsburg,Nürnberg,2–2
2018-11-03,Bundesliga,Wolfsburg,Dortmund,0–1
2018-11-03,Bundesliga,Bayern Munich,Freiburg,1–1
2018-11-03,Bundesliga,Leverkusen,Hoffenheim,1–4
2018-11-03,Bundesliga,Schalke 04,Hannover 96,3–1
2018-11-03,Bundesliga,Hertha BSC,RB Leipzig,0–3
2018-11-04,Bundesliga,Gladbach,Düsseldorf,3–0
2018-11-04,Bundesliga,Mainz 05,Werder Bremen,2–1
2018-11-09,Bundesliga,Hannover 96,Wolfsburg,2–1
2018-11-10,Bundesliga,Werder Bremen,Gladbach,1–3
2018-11-10,Bundesliga,Freiburg,Mainz 05,1–3
2018-11-10,Bundesliga,Hoffenheim,Augsburg,2–1
2018-11-10,Bundesliga,Düsseldorf,Hertha BSC,4–1
2018-11-10,Bundesliga,Nürnberg,Stuttgart,0–2
2018-11-10,Bundesliga,Dortmund,Bayern Munich,3–2
2018-11-11,Bundesliga,RB Leipzig,Leverkusen,3–0
2018-11-11,Bundesliga,Eint Frankfurt,Schalke 04,3–0
2018-11-23,Bundesliga,Leverkusen,Stuttgart,2–0
2018-11-24,Bundesliga,Mainz 05,Dortmund,1–2
2018-11-24,Bundesliga,Augsburg,Eint Frankfurt,1–3
2018-11-24,Bundesliga,Wolfsburg,RB Leipzig,1–0
2018-11-24,Bundesliga,Bayern Munich,Düsseldorf,3–3
2018-11-24,Bundesliga,Hertha BSC,Hoffenheim,3–3
2018-11-24,Bundesliga,Schalke 04,Nürnberg,5–2
2018-11-25,Bundesliga,Freiburg,Werder Bremen,1–1
2018-11-25,Bundesliga,Gladbach,Hannover 96,4–1
2018-11-30,Bundesliga,Düsseldorf,Mainz 05,0–1
2018-12-01,Bundesliga,Hannover 96,Hertha BSC,0–2
2018-12-01,Bundesliga,Werder Bremen,Bayern Munich,1–2
2018-12-01,Bundesliga,Stuttgart,Augsburg,1–0
2018-12-01,Bundesliga,Dortmund,Freiburg,2–0
2018-12-01,Bundesliga,Hoffenheim,Schalke 04,1–1
2018-12-02,Bundesliga,RB Leipzig,Gladbach,2–0
2018-12-02,Bundesliga,Eint Frankfurt,Wolfsburg,1–2
2018-12-03,Bundesliga,Nürnberg,Leverkusen,1–1
2018-12-07,Bundesliga,Werder Bremen,Düsseldorf,3–1
2018-12-08,Bundesliga,Wolfsburg,Hoffenheim,2–2
2018-12-08,Bundesliga,Schalke 04,Dortmund,1–2
2018-12-08,Bundesliga,Bayern Munich,Nürnberg,3–0
2018-12-08,Bundesliga,Freiburg,RB Leipzig,3–0
2018-12-08,Bundesliga,Leverkusen,Augsburg,1–0
2018-12-08,Bundesliga,Hertha BSC,Eint Frankfurt,1–0
2018-12-09,Bundesliga,Mainz 05,Hannover 96,1–1
2018-12-09,Bundesliga,Gladbach,Stuttgart,3–0
2018-12-14,Bundesliga,Nürnberg,Wolfsburg,0–2
2018-12-15,Bundesliga,Hannover 96,Bayern Munich,0–4
2018-12-15,Bundesliga,Hoffenheim,Gladbach,0–0
2018-12-15,Bundesliga,Düsseldorf,Freiburg,2–0
2018-12-15,Bundesliga,Augsburg,Schalke 04,1–1
2018-12-15,Bundesliga,Stuttgart,Hertha BSC,2–1
2018-12-15,Bundesliga,Dortmund,Werder Bremen,2–1
2018-12-16,Bundesliga,RB Leipzig,Mainz 05,4–1
2018-12-16,Bundesliga,Eint Frankfurt,Leverkusen,2–1
2018-12-18,Bundesliga,Gladbach,Nürnberg,2–0
2018-12-18,Bundesliga,Düsseldorf,Dortmund,2–1
2018-12-18,Bundesliga,Wolfsburg,Stuttgart,2–0
2018-12-18,Bundesliga,Hertha BSC,Augsburg,2–2
2018-12-19,Bundesliga,Schalke 04,Leverkusen,1–2
2018-12-19,Bundesliga,Mainz 05,Eint Frankfurt,2–2
2018-12-19,Bundesliga,Freiburg,Hannover 96,1–1
2018-12-19,Bundesliga,Werder Bremen,Hoffenheim,1–1
2018-12-19,Bundesliga,Bayern Munich,RB Leipzig,1–0
2018-12-21,Bundesliga,Dortmund,Gladbach,2–1
2018-12-22,Bundesliga,Hannover 96,Düsseldorf,0–1
2018-12-22,Bundesliga,Nürnberg,Freiburg,0–1
2018-12-22,Bundesliga,Stuttgart,Schalke 04,1–3
2018-12-22,Bundesliga,Leverkusen,Hertha BSC,3–1
2018-12-22,Bundesliga,RB Leipzig,Werder Bremen,3–2
2018-12-22,Bundesliga,Eint Frankfurt,Bayern Munich,0–3
2018-12-23,Bundesliga,Augsburg,Wolfsburg,2–3
2018-12-23,Bundesliga,Hoffenheim,Mainz 05,1–1
2019-01-18,Bundesliga,Hoffenheim,Bayern Munich,1–3
2019-01-19,Bundesliga,Hannover 96,Werder Bremen,0–1
2019-01-19,Bundesliga,Eint Frankfurt,Freiburg,3–1
2019-01-19,Bundesliga,Augsburg,Düsseldorf,1–2
2019-01-19,Bundesliga,Leverkusen,Gladbach,0–1
2019-01-19,Bundesliga,Stuttgart,Mainz 05,2–3
2019-01-19,Bundesliga,RB Leipzig,Dortmund,0–1
2019-01-20,Bundesliga,Nürnberg,Hertha BSC,1–3
2019-01-20,Bundesliga,Schalke 04,Wolfsburg,2–1
2019-01-25,Bundesliga,Hertha BSC,Schalke 04,2–2
2019-01-26,Bundesliga,Wolfsburg,Leverkusen,0–3
2019-01-26,Bundesliga,Gladbach,Augsburg,2–0
2019-01-26,Bundesliga,Mainz 05,Nürnberg,2–1
2019-01-26,Bundesliga,Dortmund,Hannover 96,5–1
2019-01-26,Bundesliga,Freiburg,Hoffenheim,2–4
2019-01-26,Bundesliga,Werder Bremen,Eint Frankfurt,2–2
2019-01-27,Bundesliga,Bayern Munich,Stuttgart,4–1
2019-01-27,Bundesliga,Düsseldorf,RB Leipzig,0–4
2019-02-01,Bundesliga,Hannover 96,RB Leipzig,0–3
2019-02-02,Bundesliga,Hertha BSC,Wolfsburg,0–1
2019-02-02,Bundesliga,Eint Frankfurt,Dortmund,1–1
2019-02-02,Bundesliga,Leverkusen,Bayern Munich,3–1
2019-02-02,Bundesliga,Hoffenheim,Düsseldorf,1–1
2019-02-02,Bundesliga,Nürnberg,Werder Bremen,1–1
2019-02-02,Bundesliga,Schalke 04,Gladbach,0–2
2019-02-03,Bundesliga,Augsburg,Mainz 05,3–0
2019-02-03,Bundesliga,Stuttgart,Freiburg,2–2
2019-02-08,Bundesliga,Mainz 05,Leverkusen,1–5
2019-02-09,Bundesliga,Gladbach,Hertha BSC,0–3
2019-02-09,Bundesliga,Freiburg,Wolfsburg,3–3
2019-02-09,Bundesliga,Dortmund,Hoffenheim,3–3
2019-02-09,Bundesliga,Hannover 96,Nürnberg,2–0
2019-02-09,Bundesliga,RB Leipzig,Eint Frankfurt,0–0
2019-02-09,Bundesliga,Bayern Munich,Schalke 04,3–1
2019-02-10,Bundesliga,Werder Bremen,Augsburg,4–0
2019-02-10,Bundesliga,Düsseldorf,Stuttgart,3–0
2019-02-15,Bundesliga,Augsburg,Bayern Munich,2–3
2019-02-16,Bundesliga,Hoffenheim,Hannover 96,3–0
2019-02-16,Bundesliga,Schalke 04,Freiburg,0–0
2019-02-16,Bundesliga,Wolfsburg,Mainz 05,3–0
2019-02-16,Bundesliga,Stuttgart,RB Leipzig,1–3
2019-02-16,Bundesliga,Hertha BSC,Werder Bremen,1–1
2019-02-17,Bundesliga,Eint Frankfurt,Gladbach,1–1
2019-02-17,Bundesliga,Leverkusen,Düsseldorf,2–0
2019-02-18,Bundesliga,Nürnberg,Dortmund,0–0
2019-02-22,Bundesliga,Werder Bremen,Stuttgart,1–1
2019-02-23,Bundesliga,Mainz 05,Schalke 04,3–0
2019-02-23,Bundesliga,Bayern Munich,Hertha BSC,1–0
2019-02-23,Bundesliga,Freiburg,Augsburg,5–1
2019-02-23,Bundesliga,Gladbach,Wolfsburg,0–3
2019-02-23,Bundesliga,Düsseldorf,Nürnberg,2–1
2019-02-24,Bundesliga,Hannover 96,Eint Frankfurt,0–3
2019-02-24,Bundesliga,Dortmund,Leverkusen,3–2
2019-02-25,Bundesliga,RB Leipzig,Hoffenheim,1–1
2019-03-01,Bundesliga,Augsburg,Dortmund,2–1
2019-03-02,Bundesliga,Leverkusen,Freiburg,2–0
2019-03-02,Bundesliga,Nürnberg,RB Leipzig,0–1
2019-03-02,Bundesliga,Eint Frankfurt,Hoffenheim,3–2
2019-03-02,Bundesliga,Hertha BSC,Mainz 05,2–1
2019-03-02,Bundesliga,Schalke 04,Düsseldorf,0–4
2019-03-02,Bundesliga,Gladbach,Bayern Munich,1–5
2019-03-03,Bundesliga,Stuttgart,Hannover 96,5–1
2019-03-03,Bundesliga,Wolfsburg,Werder Bremen,1–1
2019-03-08,Bundesliga,Werder Bremen,Schalke 04,4–2
2019-03-09,Bundesliga,RB Leipzig,Augsburg,0–0
2019-03-09,Bundesliga,Freiburg,Hertha BSC,2–1
2019-03-09,Bundesliga,Dortmund,Stuttgart,3–1
2019-03-09,Bundesliga,Bayern Munich,Wolfsburg,6–0
2019-03-09,Bundesliga,Mainz 05,Gladbach,0–1
2019-03-10,Bundesliga,Hoffenheim,Nürnberg,2–1
2019-03-10,Bundesliga,Hannover 96,Leverkusen,2–3
2019-03-11,Bundesliga,Düsseldorf,Eint Frankfurt,0–3
2019-03-15,Bundesliga,Gladbach,Freiburg,1–1
2019-03-16,Bundesliga,Augsburg,Hannover 96,3–1
2019-03-16,Bundesliga,Schalke 04,RB Leipzig,0–1
2019-03-16,Bundesliga,Wolfsburg,Düsseldorf,5–2
2019-03-16,Bundesliga,Stuttgart,Hoffenheim,1–1
2019-03-16,Bundesliga,Hertha BSC,Dortmund,2–3
2019-03-17,Bundesliga,Leverkusen,Werder Bremen,1–3
2019-03-17,Bundesliga,Eint Frankfurt,Nürnberg,1–0
2019-03-17,Bundesliga,Bayern Munich,Mainz 05,6–0
2019-03-29,Bundesliga,Hoffenheim,Leverkusen,4–1
2019-03-30,Bundesliga,Düsseldorf,Gladbach,3–1
2019-03-30,Bundesliga,Freiburg,Bayern Munich,1–1
2019-03-30,Bundesliga,Nürnberg,Augsburg,3–0
2019-03-30,Bundesliga,Werder Bremen,Mainz 05,3–1
2019-03-30,Bundesliga,Dortmund,Wolfsburg,2–0
2019-03-30,Bundesliga,RB Leipzig,Hertha BSC,5–0
2019-03-31,Bundesliga,Hannover 96,Schalke 04,0–1
2019-03-31,Bundesliga,Eint Frankfurt,Stuttgart,3–0
2019-04-05,Bundesliga,Mainz 05,Freiburg,5–0
2019-04-06,Bundesliga,Wolfsburg,Hannover 96,3–1
2019-04-06,Bundesliga,Leverkusen,RB Leipzig,2–4
2019-04-06,Bundesliga,Hertha BSC,Düsseldorf,1–2
2019-04-06,Bundesliga,Stuttgart,Nürnberg,1–1
2019-04-06,Bundesliga,Schalke 04,Eint Frankfurt,1–2
2019-04-06,Bundesliga,Bayern Munich,Dortmund,5–0
2019-04-07,Bundesliga,Augsburg,Hoffenheim,0–4
2019-04-07,Bundesliga,Gladbach,Werder Bremen,1–1
2019-04-12,Bundesliga,Nürnberg,Schalke 04,1–1
2019-04-13,Bundesliga,RB Leipzig,Wolfsburg,2–0
2019-04-13,Bundesliga,Werder Bremen,Freiburg,2–1
2019-04-13,Bundesliga,Stuttgart,Leverkusen,0–1
2019-04-13,Bundesliga,Hannover 96,Gladbach,0–1
2019-04-13,Bundesliga,Dortmund,Mainz 05,2–1
2019-04-14,Bundesliga,Hoffenheim,Hertha BSC,2–0
2019-04-14,Bundesliga,Düsseldorf,Bayern Munich,1–4
2019-04-14,Bundesliga,Eint Frankfurt,Augsburg,1–3
2019-04-20,Bundesliga,Bayern Munich,Werder Bremen,1–0
2019-04-20,Bundesliga,Leverkusen,Nürnberg,2–0
2019-04-20,Bundesliga,Mainz 05,Düsseldorf,3–1
2019-04-20,Bundesliga,Augsburg,Stuttgart,6–0
2019-04-20,Bundesliga,Gladbach,RB Leipzig,1–2
2019-04-20,Bundesliga,Schalke 04,Hoffenheim,2–5
2019-04-21,Bundesliga,Freiburg,Dortmund,0–4
2019-04-21,Bundesliga,Hertha BSC,Hannover 96,0–0
2019-04-22,Bundesliga,Wolfsburg,Eint Frankfurt,1–1
2019-04-26,Bundesliga,Augsburg,Leverkusen,1–4
2019-04-27,Bundesliga,Dortmund,Schalke 04,2–4
2019-04-27,Bundesliga,Düsseldorf,Werder Bremen,4–1
2019-04-27,Bundesliga,Hannover 96,Mainz 05,1–0
2019-04-27,Bundesliga,Eint Frankfurt,Hertha BSC,0–0
2019-04-27,Bundesliga,RB Leipzig,Freiburg,2–1
2019-04-27,Bundesliga,Stuttgart,Gladbach,1–0
2019-04-28,Bundesliga,Hoffenheim,Wolfsburg,1–4
2019-04-28,Bundesliga,Nürnberg,Bayern Munich,1–1
2019-05-03,Bundesliga,Mainz 05,RB Leipzig,3–3
2019-05-04,Bundesliga,Hertha BSC,Stuttgart,3–1
2019-05-04,Bundesliga,Wolfsburg,Nürnberg,2–0
2019-05-04,Bundesliga,Bayern Munich,Hannover 96,3–1
2019-05-04,Bundesliga,Gladbach,Hoffenheim,2–2
2019-05-04,Bundesliga,Werder Bremen,Dortmund,2–2
2019-05-05,Bundesliga,Schalke 04,Augsburg,0–0
2019-05-05,Bundesliga,Freiburg,Düsseldorf,1–1
2019-05-05,Bundesliga,Leverkusen,Eint Frankfurt,6–1
2019-05-11,Bundesliga,Nürnberg,Gladbach,0–4
2019-05-11,Bundesliga,Hoffenheim,Werder Bremen,0–1
2019-05-11,Bundesliga,Hannover 96,Freiburg,3–0
2019-05-11,Bundesliga,Leverkusen,Schalke 04,1–1
2019-05-11,Bundesliga,RB Leipzig,Bayern Munich,0–0
2019-05-11,Bundesliga,Stuttgart,Wolfsburg,3–0
2019-05-11,Bundesliga,Augsburg,Hertha BSC,3–4
2019-05-11,Bundesliga,Dortmund,Düsseldorf,3–2
2019-05-12,Bundesliga,Eint Frankfurt,Mainz 05,0–2
2019-05-18,Bundesliga,Bayern Munich,Eint Frankfurt,5–1
2019-05-18,Bundesliga,Hertha BSC,Leverkusen,1–5
2019-05-18,Bundesliga,Schalke 04,Stuttgart,0–0
2019-05-18,Bundesliga,Düsseldorf,Hannover 96,2–1
2019-05-18,Bundesliga,Mainz 05,Hoffenheim,4–2
2019-05-18,Bundesliga,Gladbach,Dortmund,0–2
2019-05-18,Bundesliga,Werder Bremen,RB Leipzig,2–1
2019-05-18,Bundesliga,Wolfsburg,Augsburg,8–1
2019-05-18,Bundesliga,Freiburg,Nürnberg,5–1
2019-05-23,Bundesliga,Stuttgart,Union Berlin,2–2
2019-05-27,Bundesliga,Union Berlin,Stuttgart,0–0
2019-08-16,Bundesliga,Bayern Munich,Hertha BSC,2–2
2019-08-17,Bundesliga,Wolfsburg,Köln,2–1
2019-08-17,Bundesliga,Freiburg,Mainz 05,3–0
2019-08-17,Bundesliga,Dortmund,Augsburg,5–1
2019-08-17,Bundesliga,Leverkusen,Paderborn 07,3–2
2019-08-17,Bundesliga,Werder Bremen,Düsseldorf,1–3
2019-08-17,Bundesliga,Gladbach,Schalke 04,0–0
2019-08-18,Bundesliga,Eint Frankfurt,Hoffenheim,1–0
2019-08-18,Bundesliga,Union Berlin,RB Leipzig,0–4
2019-08-23,Bundesliga,Köln,Dortmund,1–3
2019-08-24,Bundesliga,Paderborn 07,Freiburg,1–3
2019-08-24,Bundesliga,Düsseldorf,Leverkusen,1–3
2019-08-24,Bundesliga,Hoffenheim,Werder Bremen,3–2
2019-08-24,Bundesliga,Augsburg,Union Berlin,1–1
2019-08-24,Bundesliga,Mainz 05,Gladbach,1–3
2019-08-24,Bundesliga,Schalke 04,Bayern Munich,0–3
2019-08-25,Bundesliga,RB Leipzig,Eint Frankfurt,2–1
2019-08-25,Bundesliga,Hertha BSC,Wolfsburg,0–3
2019-08-30,Bundesliga,Gladbach,RB Leipzig,1–3
2019-08-31,Bundesliga,Wolfsburg,Paderborn 07,1–1
2019-08-31,Bundesliga,Schalke 04,Hertha BSC,3–0
2019-08-31,Bundesliga,Leverkusen,Hoffenheim,0–0
2019-08-31,Bundesliga,Freiburg,Köln,1–2
2019-08-31,Bundesliga,Bayern Munich,Mainz 05,6–1
2019-08-31,Bundesliga,Union Berlin,Dortmund,3–1
2019-09-01,Bundesliga,Werder Bremen,Augsburg,3–2
2019-09-01,Bundesliga,Eint Frankfurt,Düsseldorf,2–1
2019-09-13,Bundesliga,Düsseldorf,Wolfsburg,1–1
2019-09-14,Bundesliga,Mainz 05,Hertha BSC,2–1
2019-09-14,Bundesliga,Köln,Gladbach,0–1
2019-09-14,Bundesliga,Augsburg,Eint Frankfurt,2–1
2019-09-14,Bundesliga,Dortmund,Leverkusen,4–0
2019-09-14,Bundesliga,Union Berlin,Werder Bremen,1–2
2019-09-14,Bundesliga,RB Leipzig,Bayern Munich,1–1
2019-09-15,Bundesliga,Hoffenheim,Freiburg,0–3
2019-09-15,Bundesliga,Paderborn 07,Schalke 04,1–5
2019-09-20,Bundesliga,Schalke 04,Mainz 05,2–1
2019-09-21,Bundesliga,Freiburg,Augsburg,1–1
2019-09-21,Bundesliga,Bayern Munich,Köln,4–0
2019-09-21,Bundesliga,Leverkusen,Union Berlin,2–0
2019-09-21,Bundesliga,Hertha BSC,Paderborn 07,2–1
2019-09-21,Bundesliga,Werder Bremen,RB Leipzig,0–3
2019-09-22,Bundesliga,Gladbach,Düsseldorf,2–1
2019-09-22,Bundesliga,Eint Frankfurt,Dortmund,2–2
2019-09-23,Bundesliga,Wolfsburg,Hoffenheim,1–1
2019-09-27,Bundesliga,Union Berlin,Eint Frankfurt,1–2
2019-09-28,Bundesliga,Augsburg,Leverkusen,0–3
2019-09-28,Bundesliga,Mainz 05,Wolfsburg,0–1
2019-09-28,Bundesliga,Hoffenheim,Gladbach,0–3
2019-09-28,Bundesliga,Paderborn 07,Bayern Munich,2–3
2019-09-28,Bundesliga,RB Leipzig,Schalke 04,1–3
2019-09-28,Bundesliga,Dortmund,Werder Bremen,2–2
2019-09-29,Bundesliga,Düsseldorf,Freiburg,1–2
2019-09-29,Bundesliga,Köln,Hertha BSC,0–4
2019-10-04,Bundesliga,Hertha BSC,Düsseldorf,3–1
2019-10-05,Bundesliga,Paderborn 07,Mainz 05,1–2
2019-10-05,Bundesliga,Freiburg,Dortmund,2–2
2019-10-05,Bundesliga,Bayern Munich,Hoffenheim,1–2
2019-10-05,Bundesliga,Leverkusen,RB Leipzig,1–1
2019-10-05,Bundesliga,Schalke 04,Köln,1–1
2019-10-06,Bundesliga,Gladbach,Augsburg,5–1
2019-10-06,Bundesliga,Wolfsburg,Union Berlin,1–0
2019-10-06,Bundesliga,Eint Frankfurt,Werder Bremen,2–2
2019-10-18,Bundesliga,Eint Frankfurt,Leverkusen,3–0
2019-10-19,Bundesliga,Werder Bremen,Hertha BSC,1–1
2019-10-19,Bundesliga,RB Leipzig,Wolfsburg,1–1
2019-10-19,Bundesliga,Augsburg,Bayern Munich,2–2
2019-10-19,Bundesliga,Düsseldorf,Mainz 05,1–0
2019-10-19,Bundesliga,Union Berlin,Freiburg,2–0
2019-10-19,Bundesliga,Dortmund,Gladbach,1–0
2019-10-20,Bundesliga,Köln,Paderborn 07,3–0
2019-10-20,Bundesliga,Hoffenheim,Schalke 04,2–0
2019-10-25,Bundesliga,Mainz 05,Köln,3–1
2019-10-26,Bundesliga,Paderborn 07,Düsseldorf,2–0
2019-10-26,Bundesliga,Freiburg,RB Leipzig,2–1
2019-10-26,Bundesliga,Bayern Munich,Union Berlin,2–1
2019-10-26,Bundesliga,Hertha BSC,Hoffenheim,2–3
2019-10-26,Bundesliga,Schalke 04,Dortmund,0–0
2019-10-26,Bundesliga,Leverkusen,Werder Bremen,2–2
2019-10-27,Bundesliga,Wolfsburg,Augsburg,0–0
2019-10-27,Bundesliga,Gladbach,Eint Frankfurt,4–2
2019-11-01,Bundesliga,Hoffenheim,Paderborn 07,3–0
2019-11-02,Bundesliga,Dortmund,Wolfsburg,3–0
2019-11-02,Bundesliga,Leverkusen,Gladbach,1–2
2019-11-02,Bundesliga,Eint Frankfurt,Bayern Munich,5–1
2019-11-02,Bundesliga,Werder Bremen,Freiburg,2–2
2019-11-02,Bundesliga,RB Leipzig,Mainz 05,8–0
2019-11-02,Bundesliga,Union Berlin,Hertha BSC,1–0
2019-11-03,Bundesliga,Düsseldorf,Köln,2–0
2019-11-03,Bundesliga,Augsburg,Schalke 04,2–3
2019-11-08,Bundesliga,Köln,Hoffenheim,1–2
2019-11-09,Bundesliga,Mainz 05,Union Berlin,2–3
2019-11-09,Bundesliga,Hertha BSC,RB Leipzig,2–4
2019-11-09,Bundesliga,Paderborn 07,Augsburg,0–1
2019-11-09,Bundesliga,Schalke 04,Düsseldorf,3–3
2019-11-09,Bundesliga,Bayern Munich,Dortmund,4–0
2019-11-10,Bundesliga,Gladbach,Werder Bremen,3–1
2019-11-10,Bundesliga,Wolfsburg,Leverkusen,0–2
2019-11-10,Bundesliga,Freiburg,Eint Frankfurt,1–0
2019-11-22,Bundesliga,Dortmund,Paderborn 07,3–3
2019-11-23,Bundesliga,Düsseldorf,Bayern Munich,0–4
2019-11-23,Bundesliga,Union Berlin,Gladbach,2–0
2019-11-23,Bundesliga,Leverkusen,Freiburg,1–1
2019-11-23,Bundesliga,Eint Frankfurt,Wolfsburg,0–2
2019-11-23,Bundesliga,Werder Bremen,Schalke 04,1–2
