date,league,home_team,away_team,score
2013-12-07,Bundesliga,Werder Bremen,Bayern Munich,0–7
2013-12-08,Bundesliga,Freiburg,Wolfsburg,0–3
2013-12-08,Bundesliga,Braunschweig,Hertha BSC,0–2
2013-12-13,Bundesliga,Hertha BSC,Werder Bremen,3–2
2013-12-14,Bundesliga,Wolfsburg,Stuttgart,3–1
2013-12-14,Bundesliga,Bayern Munich,Hamburger SV,3–1
2013-12-14,Bundesliga,Augsburg,Braunschweig,4–1
2013-12-14,Bundesliga,Mainz 05,Gladbach,0–0
2013-12-14,Bundesliga,Hannover 96,Nürnberg,3–3
2013-12-14,Bundesliga,Hoffenheim,Dortmund,2–2
2013-12-15,Bundesliga,Leverkusen,Eint Frankfurt,0–1
2013-12-15,Bundesliga,Schalke 04,Freiburg,2–0
2013-12-20,Bundesliga,Eint Frankfurt,Augsburg,1–1
2013-12-21,Bundesliga,Dortmund,Hertha BSC,1–2
2013-12-21,Bundesliga,Werder Bremen,Leverkusen,1–0
2013-12-21,Bundesliga,Braunschweig,Hoffenheim,1–0
2013-12-21,Bundesliga,Freiburg,Hannover 96,2–1
2013-12-21,Bundesliga,Hamburger SV,Mainz 05,2–3
2013-12-21,Bundesliga,Nürnberg,Schalke 04,0–0
2013-12-22,Bundesliga,Gladbach,Wolfsburg,2–2
2014-01-24,Bundesliga,Gladbach,Bayern Munich,0–2
2014-01-25,Bundesliga,Wolfsburg,Hannover 96,1–3
2014-01-25,Bundesliga,Nürnberg,Hoffenheim,4–0
2014-01-25,Bundesliga,Stuttgart,Mainz 05,1–2
2014-01-25,Bundesliga,Dortmund,Augsburg,2–2
2014-01-25,Bundesliga,Eint Frankfurt,Hertha BSC,1–0
2014-01-25,Bundesliga,Freiburg,Leverkusen,3–2
2014-01-26,Bundesliga,Werder Bremen,Braunschweig,0–0
2014-01-26,Bundesliga,Hamburger SV,Schalke 04,0–3
2014-01-29,Bundesliga,Stuttgart,Bayern Munich,1–2
2014-01-31,Bundesliga,Braunschweig,Dortmund,1–2
2014-02-01,Bundesliga,Hoffenheim,Hamburger SV,3–0
2014-02-01,Bundesliga,Leverkusen,Stuttgart,2–1
2014-02-01,Bundesliga,Mainz 05,Freiburg,2–0
2014-02-01,Bundesliga,Hannover 96,Gladbach,3–1
2014-02-01,Bundesliga,Schalke 04,Wolfsburg,2–1
2014-02-01,Bundesliga,Augsburg,Werder Bremen,3–1
2014-02-02,Bundesliga,Bayern Munich,Eint Frankfurt,5–0
2014-02-02,Bundesliga,Hertha BSC,Nürnberg,1–3
2014-02-07,Bundesliga,Gladbach,Leverkusen,0–1
2014-02-08,Bundesliga,Hamburger SV,Hertha BSC,0–3
2014-02-08,Bundesliga,Nürnberg,Bayern Munich,0–2
2014-02-08,Bundesliga,Eint Frankfurt,Braunschweig,3–0
2014-02-08,Bundesliga,Wolfsburg,Mainz 05,3–0
2014-02-08,Bundesliga,Werder Bremen,Dortmund,1–5
2014-02-08,Bundesliga,Freiburg,Hoffenheim,1–1
2014-02-09,Bundesliga,Stuttgart,Augsburg,1–4
2014-02-09,Bundesliga,Schalke 04,Hannover 96,2–0
2014-02-14,Bundesliga,Mainz 05,Hannover 96,2–0
2014-02-15,Bundesliga,Bayern Munich,Freiburg,4–0
2014-02-15,Bundesliga,Hoffenheim,Stuttgart,4–1
2014-02-15,Bundesliga,Braunschweig,Hamburger SV,4–2
2014-02-15,Bundesliga,Leverkusen,Schalke 04,1–2
2014-02-15,Bundesliga,Dortmund,Eint Frankfurt,4–0
2014-02-15,Bundesliga,Werder Bremen,Gladbach,1–1
2014-02-16,Bundesliga,Hertha BSC,Wolfsburg,1–2
2014-02-16,Bundesliga,Augsburg,Nürnberg,0–1
2014-02-21,Bundesliga,Schalke 04,Mainz 05,0–0
2014-02-22,Bundesliga,Nürnberg,Braunschweig,2–1
2014-02-22,Bundesliga,Stuttgart,Hertha BSC,1–2
2014-02-22,Bundesliga,Hamburger SV,Dortmund,3–0
2014-02-22,Bundesliga,Gladbach,Hoffenheim,2–2
2014-02-22,Bundesliga,Wolfsburg,Leverkusen,3–1
2014-02-22,Bundesliga,Freiburg,Augsburg,2–4
2014-02-23,Bundesliga,Hannover 96,Bayern Munich,0–4
2014-02-23,Bundesliga,Eint Frankfurt,Werder Bremen,0–0
2014-02-28,Bundesliga,Hertha BSC,Freiburg,0–0
2014-03-01,Bundesliga,Leverkusen,Mainz 05,0–1
2014-03-01,Bundesliga,Braunschweig,Gladbach,1–1
2014-03-01,Bundesliga,Augsburg,Hannover 96,1–1
2014-03-01,Bundesliga,Bayern Munich,Schalke 04,5–1
2014-03-01,Bundesliga,Dortmund,Nürnberg,3–0
2014-03-01,Bundesliga,Werder Bremen,Hamburger SV,1–0
2014-03-02,Bundesliga,Eint Frankfurt,Stuttgart,2–1
2014-03-02,Bundesliga,Hoffenheim,Wolfsburg,6–2
2014-03-08,Bundesliga,Stuttgart,Braunschweig,2–2
2014-03-08,Bundesliga,Hannover 96,Leverkusen,1–1
2014-03-08,Bundesliga,Gladbach,Augsburg,1–2
2014-03-08,Bundesliga,Hamburger SV,Eint Frankfurt,1–1
2014-03-08,Bundesliga,Wolfsburg,Bayern Munich,1–6
2014-03-08,Bundesliga,Nürnberg,Werder Bremen,0–2
2014-03-08,Bundesliga,Schalke 04,Hoffenheim,4–0
2014-03-09,Bundesliga,Mainz 05,Hertha BSC,1–1
2014-03-09,Bundesliga,Freiburg,Dortmund,0–1
2014-03-14,Bundesliga,Augsburg,Schalke 04,1–2
2014-03-15,Bundesliga,Dortmund,Gladbach,1–2
2014-03-15,Bundesliga,Hoffenheim,Mainz 05,2–4
2014-03-15,Bundesliga,Bayern Munich,Leverkusen,2–1
2014-03-15,Bundesliga,Hertha BSC,Hannover 96,0–3
2014-03-15,Bundesliga,Werder Bremen,Stuttgart,1–1
2014-03-15,Bundesliga,Braunschweig,Wolfsburg,1–1
2014-03-16,Bundesliga,Eint Frankfurt,Freiburg,1–4
2014-03-16,Bundesliga,Hamburger SV,Nürnberg,2–1
2014-03-21,Bundesliga,Freiburg,Werder Bremen,3–1
2014-03-22,Bundesliga,Wolfsburg,Augsburg,1–1
2014-03-22,Bundesliga,Gladbach,Hertha BSC,3–0
2014-03-22,Bundesliga,Stuttgart,Hamburger SV,1–0
2014-03-22,Bundesliga,Mainz 05,Bayern Munich,0–2
2014-03-22,Bundesliga,Schalke 04,Braunschweig,3–1
2014-03-22,Bundesliga,Hannover 96,Dortmund,0–3
2014-03-23,Bundesliga,Leverkusen,Hoffenheim,2–3
2014-03-23,Bundesliga,Nürnberg,Eint Frankfurt,2–5
2014-03-25,Bundesliga,Dortmund,Schalke 04,0–0
2014-03-25,Bundesliga,Werder Bremen,Wolfsburg,1–3
2014-03-25,Bundesliga,Braunschweig,Mainz 05,3–1
2014-03-25,Bundesliga,Hertha BSC,Bayern Munich,1–3
2014-03-26,Bundesliga,Eint Frankfurt,Gladbach,1–0
2014-03-26,Bundesliga,Hoffenheim,Hannover 96,3–1
2014-03-26,Bundesliga,Augsburg,Leverkusen,1–3
2014-03-26,Bundesliga,Nürnberg,Stuttgart,2–0
2014-03-26,Bundesliga,Hamburger SV,Freiburg,1–1
2014-03-28,Bundesliga,Schalke 04,Hertha BSC,2–0
2014-03-29,Bundesliga,Stuttgart,Dortmund,2–3
2014-03-29,Bundesliga,Bayern Munich,Hoffenheim,3–3
2014-03-29,Bundesliga,Freiburg,Nürnberg,3–2
2014-03-29,Bundesliga,Wolfsburg,Eint Frankfurt,2–1
2014-03-29,Bundesliga,Leverkusen,Braunschweig,1–1
2014-03-29,Bundesliga,Mainz 05,Augsburg,3–0
2014-03-30,Bundesliga,Gladbach,Hamburger SV,3–1
2014-03-30,Bundesliga,Hannover 96,Werder Bremen,1–2
2014-04-04,Bundesliga,Hamburger SV,Leverkusen,2–1
2014-04-05,Bundesliga,Dortmund,Wolfsburg,2–1
2014-04-05,Bundesliga,Stuttgart,Freiburg,2–0
2014-04-05,Bundesliga,Augsburg,Bayern Munich,1–0
2014-04-05,Bundesliga,Werder Bremen,Schalke 04,1–1
2014-04-05,Bundesliga,Eint Frankfurt,Mainz 05,2–0
2014-04-05,Bundesliga,Nürnberg,Gladbach,0–2
2014-04-06,Bundesliga,Hertha BSC,Hoffenheim,1–1
2014-04-06,Bundesliga,Braunschweig,Hannover 96,3–0
2014-04-11,Bundesliga,Schalke 04,Eint Frankfurt,2–0
2014-04-12,Bundesliga,Bayern Munich,Dortmund,0–3
